date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:42	771310/771310	---M--	200	added ('OK')	image/jpeg	etag:%225d3efc26-bc4ee%22	https://www.dmk.in/img/TFiles/0043.jpg	C:/My%20Web%20Sites/dmk/www.dmk.in/img/TFiles/0043.jpg	(from https://www.dmk.in/nep-tamil)
14:44:43	769797/769797	---M--	200	added ('OK')	image/jpeg	etag:%225d3efc25-bbf05%22	https://www.dmk.in/img/TFiles/0041.jpg	C:/My%20Web%20Sites/dmk/www.dmk.in/img/TFiles/0041.jpg	(from https://www.dmk.in/nep-tamil)
14:44:43	789351/789351	---M--	200	added ('OK')	image/jpeg	etag:%225d3efc25-c0b67%22	https://www.dmk.in/img/TFiles/0042.jpg	C:/My%20Web%20Sites/dmk/www.dmk.in/img/TFiles/0042.jpg	(from https://www.dmk.in/nep-tamil)
14:44:46	740811/740811	---M--	200	added ('OK')	image/jpeg	etag:%225d3efc26-b4dcb%22	https://www.dmk.in/img/TFiles/0045.jpg	C:/My%20Web%20Sites/dmk/www.dmk.in/img/TFiles/0045.jpg	(from https://www.dmk.in/nep-tamil)
14:44:51	399847/399847	---M--	200	added ('OK')	image/jpeg	etag:%225d3efc28-619e7%22	https://www.dmk.in/img/TFiles/0049.jpg	C:/My%20Web%20Sites/dmk/www.dmk.in/img/TFiles/0049.jpg	(from https://www.dmk.in/nep-tamil)
14:44:51	793951/793951	---M--	200	added ('OK')	image/jpeg	etag:%225d3efc27-c1d5f%22	https://www.dmk.in/img/TFiles/0047.jpg	C:/My%20Web%20Sites/dmk/www.dmk.in/img/TFiles/0047.jpg	(from https://www.dmk.in/nep-tamil)
14:44:52	766150/766150	---M--	200	added ('OK')	image/jpeg	etag:%225d3efc27-bb0c6%22	https://www.dmk.in/img/TFiles/0048.jpg	C:/My%20Web%20Sites/dmk/www.dmk.in/img/TFiles/0048.jpg	(from https://www.dmk.in/nep-tamil)
14:44:52	710082/710082	---M--	200	added ('OK')	image/jpeg	etag:%225d3efc27-ad5c2%22	https://www.dmk.in/img/TFiles/0046.jpg	C:/My%20Web%20Sites/dmk/www.dmk.in/img/TFiles/0046.jpg	(from https://www.dmk.in/nep-tamil)
14:44:56	597319/597319	---M--	200	added ('OK')	image/jpeg	etag:%225d3efc29-91d47%22	https://www.dmk.in/img/TFiles/0052.jpg	C:/My%20Web%20Sites/dmk/www.dmk.in/img/TFiles/0052.jpg	(from https://www.dmk.in/nep-tamil)
14:44:56	624521/624521	---M--	200	added ('OK')	image/jpeg	etag:%225d3efc28-98789%22	https://www.dmk.in/img/TFiles/0051.jpg	C:/My%20Web%20Sites/dmk/www.dmk.in/img/TFiles/0051.jpg	(from https://www.dmk.in/nep-tamil)
14:44:56	647132/647132	---M--	200	added ('OK')	image/jpeg	etag:%225d3efc28-9dfdc%22	https://www.dmk.in/img/TFiles/0050.jpg	C:/My%20Web%20Sites/dmk/www.dmk.in/img/TFiles/0050.jpg	(from https://www.dmk.in/nep-tamil)
